"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","over_represented_padjust","Term","Definition","clusters"
"811","GO:0009733",0,1,12,366,0,"response to auxin","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus.","10"
"767","GO:0009641",6.66680713513347e-10,0.999999999998992,4,15,9.23686128572743e-07,"shade avoidance","Shade avoidance is a set of responses that plants display when they are subjected to the shade of another plant. It often includes elongation, altered flowering time, increased apical dominance and altered partitioning of resources. Plants are able to distinguish between the shade of an inanimate object (e.g. a rock) and the shade of another plant due to the altered balance between red and far-red light in the shade of a plant; this balance between red and far-red light is perceived by phytochrome.","10"
"950","GO:0010017",1.55618623443866e-06,0.999999992877872,3,30,0.00143739735187651,"red or far-red light signaling pathway","The series of molecular signals initiated upon sensing by photoreceptor molecules of red light or far red light. Red light is electromagnetic radiation of wavelength of 580-700nm. Far red light is electromagnetic radiation of wavelength 700-800nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs.","10"
"176","GO:0006091",1.05379315625272e-05,0.99999999355283,2,67,0.0292006083597628,"generation of precursor metabolites and energy","The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances.","12"
"827","GO:0009751",1.77205511255988e-06,0.999999975072987,4,140,0.00491036471690343,"response to salicylic acid","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a salicylic acid stimulus.","2"
"8111","GO:0009733",0,1,15,366,0,"response to auxin","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus.","4"
"819","GO:0009741",1.12965331795165e-08,0.999999999791736,6,79,1.56513467202202e-05,"response to brassinosteroid","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a brassinosteroid stimulus.","4"
"948","GO:0010015",1.73656728437871e-06,0.999999974364316,4,44,0.00160400931500447,"root morphogenesis","The process in which the anatomical structures of roots are generated and organized. The root is the usually underground part of a seed plant body that originates from the hypocotyl, functions as an organ of absorption, aeration, and food storage or as a means of anchorage and support.","4"
"913","GO:0009926",1.48537813017811e-05,0.999999611230282,4,75,0.0102899569968089,"auxin polar transport","The unidirectional movement of auxin in the stem from tip to base along the vector of gravity or basipetally.","4"
"863","GO:0009826",5.18489470486546e-05,0.999998109843598,4,103,0.0287346864543644,"unidimensional cell growth","The process in which a cell irreversibly increases in size in one [spatial] dimension or along one axis, resulting in the morphogenesis of the cell.","4"
